threshold,precision,recall,f1,n_predictions,pct_predictions
0.5,0.0,0.0,0.0,1,0.0010284785716489597
0.55,0.0,0.0,0.0,0,0.0
0.6,0.0,0.0,0.0,0,0.0
0.65,0.0,0.0,0.0,0,0.0
0.7,0.0,0.0,0.0,0,0.0
0.75,0.0,0.0,0.0,0,0.0
0.8,0.0,0.0,0.0,0,0.0
