feature,importance
atr_percent,0.19230418
atr,0.07551401
returns_std,0.057013046
hl_range_avg,0.052933823
bb_width,0.030818066
ema_20_ratio,0.027294584
vwap_distance,0.02508937
macd_signal,0.024244135
returns_15m,0.022523278
volume_relative,0.02171721
obv_slope,0.021712085
cmo,0.021351404
macd_line,0.02132206
returns_1m,0.021304104
consecutive_green,0.021181006
volume_delta,0.021165691
ema_10_ratio,0.02115408
ad_line,0.021059038
adx,0.021023227
returns_5m,0.020705424
