threshold,precision,recall,f1,n_predictions,pct_predictions
0.5,0.5465145754119138,0.1302089624350767,0.2103106862410379,3945,4.058349707325604
0.55,0.5968831168831169,0.06939243870032613,0.12433046583346859,1925,1.980310059975105
0.6,0.654281098546042,0.024459475782099286,0.04715608080572859,619,0.6367854166880985
0.65,0.7019867549668874,0.012803478681000121,0.025148279952550416,302,0.3106772146038866
0.7,0.73224043715847,0.008092764826669888,0.016008601636700318,183,0.18825804725997097
0.75,0.8867924528301887,0.0028385070660707813,0.005658900728432966,53,0.0545228224304834
0.8,0.8333333333333334,0.0009059065104481218,0.00180984555984556,18,0.01851718497639059
